component,explained_variance_ratio,cumulative_variance,eigenvalue,pca_score_std,max_abs_channel,max_abs_value,l2_norm
78,0.003373279643951866,0.6641373400871029,0.039660399519935434,0.19914918910187768,43,0.1877619524590378,1.0000000000000002
79,0.003353025897209381,0.6674903659843123,0.039422271711876955,0.19855042611859827,11,0.17654912019998956,0.9999999999999999
80,0.003312813291344773,0.6708031792756571,0.03894948315514181,0.19735623414308912,347,0.18909045687889253,1.0
81,0.00329274664610192,0.674095925921759,0.03871355514105519,0.19675760503994552,147,0.1576558058562537,1.0
82,0.003266110239514159,0.6773620361612732,0.03840038498069208,0.19596016171837602,49,0.15737675288264635,1.0
83,0.0032311912924689753,0.6805932274537422,0.03798983514883615,0.19490981285927128,166,0.16041289783765098,1.0
84,0.0032102654596127588,0.683803492913355,0.03774380547476126,0.1942776504767372,288,0.1631375008367244,0.9999999999999999
85,0.00317939214850826,0.6869828850618632,0.03738082108504336,0.19334120379537148,8,0.16853498966322036,1.0
86,0.0031535370345804523,0.6901364220964437,0.037076836756365236,0.19255346466985537,112,0.18183733599950688,1.0
87,0.0031239802205403097,0.6932604023169839,0.03672933071562822,0.19164897786220572,38,0.13347342840041032,1.0
88,0.0031085249801957675,0.6963689272971797,0.03654762001523011,0.19117431839875906,275,0.20435800246511704,1.0
89,0.0030757452636944113,0.6994446725608741,0.036162221592978064,0.1901636705392964,340,0.16403672463219998,1.0
90,0.0030599885241324593,0.7025046610850065,0.0359769660991802,0.18967595023929681,293,0.15417733925698124,1.0
91,0.003022156548448485,0.705526817633455,0.035532167141303965,0.18849978021553226,177,0.1442412549615221,1.0
92,0.002992524767565307,0.7085193424010203,0.035183779698709006,0.18757339816378282,271,0.15161506019606727,1.0
93,0.002968280399641537,0.7114876228006619,0.03489873326928267,0.186812026564894,253,0.19489803688877874,1.0
94,0.002938250869759481,0.7144258736704214,0.034545669403186194,0.18586465345295267,267,0.17225753379778802,1.0
95,0.002920379718288936,0.7173462533887104,0.03433555429800246,0.18529855449517801,300,0.1522940537351785,1.0
96,0.002887577736038435,0.7202338311247488,0.033949894092382325,0.18425497033291213,284,0.13316608366379462,1.0
97,0.0028718668636468236,0.7231056979883956,0.0337651778691142,0.18375303499293338,105,0.17882198229951754,1.0
98,0.002847957032519218,0.7259536550209148,0.03348406466325377,0.18298651497652435,119,0.16831314977723105,1.0
99,0.0028380039640579337,0.7287916589849728,0.033367044222232356,0.1826664835765783,120,0.14587660959312732,1.0
100,0.0028208136984468864,0.7316124726834197,0.03316493444363445,0.182112422540678,26,0.16318980940034092,1.0
101,0.002802772429062438,0.7344152451124821,0.03295281922427607,0.18152911398526703,146,0.18878136368063334,1.0
102,0.0027852882615542417,0.7372005333740363,0.03274725397566355,0.18096202357307886,252,0.13352713248996548,1.0
103,0.002749714571116873,0.7399502479451532,0.032329006180028166,0.179802686798691,338,0.17590900408824134,1.0
104,0.0027253217164711348,0.7426755696616243,0.032042213959164935,0.1790033909152699,334,0.16838463170606124,1.0
105,0.002705873400644209,0.7453814430622685,0.031813555781634736,0.17836354947588012,205,0.19712302368938905,1.0
106,0.0026861506994769395,0.7480675937617455,0.03158167159459182,0.1777123282009209,259,0.16124483960680752,1.0
107,0.0026650687970406223,0.7507326625587861,0.03133380697572935,0.17701357850664834,202,0.16882850039122269,1.0
108,0.0026444559572421557,0.7533771185160283,0.03109145723069313,0.17632769842169757,367,0.14901824656260335,1.0
109,0.002593581689125246,0.7559707002051536,0.030493317138033285,0.17462335793940423,300,0.16702118637861227,1.0
110,0.0025806562948235377,0.7585513564999771,0.030341350400594966,0.17418768728183678,48,0.16729797030984542,1.0
111,0.002559456067217052,0.7611108125671942,0.03009209460637277,0.17347073126718746,203,0.21249461747929185,1.0
112,0.0025521267980857373,0.7636629393652798,0.030005922758017937,0.17322217744277993,157,0.1815026259813527,1.0
113,0.0025205175821608004,0.7661834569474406,0.029634286171545596,0.17214611866535243,82,0.14521132460699104,1.0
114,0.002510256002447691,0.7686937129498883,0.02951363849507523,0.1717953389794823,266,0.14304149645250402,1.0
115,0.0024786489686805307,0.7711723619185689,0.02914202756471752,0.1707103616208387,194,0.14789841662845904,1.0
116,0.002447660684957485,0.7736200226035264,0.02877769141633544,0.16963988745674008,364,0.209777755259829,1.0
117,0.0024353308615587196,0.776055353465085,0.028632726938551317,0.169212076810585,110,0.15206897087322438,1.0
118,0.002430031943060141,0.7784853854081452,0.0285704263744537,0.1690278863810753,319,0.1420526028129477,1.0
119,0.002405205471238379,0.7808905908793835,0.028278536019947554,0.16816223125288138,38,0.15612102629563726,0.9999999999999999
120,0.0023780181497187395,0.7832686090291022,0.027958888630120526,0.16720911646833292,114,0.15041042728623716,1.0
121,0.002362065759593301,0.7856306747886955,0.027771332829104406,0.1666473306990076,294,0.1649337285156092,1.0
122,0.002345060430604061,0.7879757352192995,0.02757139739152797,0.16604637120855117,271,0.1575028412253645,1.0
123,0.002307242716308346,0.7902829779356079,0.027126766107967472,0.1647020525311311,321,0.21831413142803194,1.0
124,0.0022925058778128986,0.7925754838134208,0.026953501817994316,0.16417521682030548,225,0.15941036367981032,1.0
125,0.0022769411519162927,0.7948524249653371,0.026770503871593854,0.1636169424955553,93,0.18015713325800917,0.9999999999999999
126,0.0022631861517796855,0.7971156111171168,0.026608783273720297,0.16312198893380467,59,0.15901162102325594,1.0
127,0.0022267080955437044,0.7993423192126605,0.026179902648117967,0.16180204772535473,125,0.15071517067202597,1.0
128,0.002219997879005816,0.8015623170916664,0.026101009138878348,0.1615580673902679,86,0.16057604673842146,1.0
129,0.0022044954907609964,0.8037668125824273,0.025918744110123598,0.1609929939783828,324,0.13645710771763697,1.0
130,0.0021765080131769237,0.8059433205956043,0.02558968910736694,0.15996777521540687,375,0.1395068139777695,1.0
131,0.0021378803770696108,0.8080812009726739,0.025135535392813952,0.1585419042171941,1,0.145469513561948,1.0
132,0.002127943347733396,0.8102091443204072,0.0250187035273556,0.15817301769693717,29,0.18016791187648235,1.0
133,0.002124292328818722,0.812333436649226,0.024975777685417047,0.15803726676140994,274,0.17828963149499374,1.0
134,0.002107137195331501,0.8144405738445575,0.02477408096301785,0.1573978429427095,54,0.21237462570100882,1.0
135,0.002088321446691091,0.8165288952912486,0.024552860018681583,0.156693522580487,237,0.19134499848241487,1.0
136,0.0020809259331966757,0.8186098212244453,0.02446590932060665,0.15641582183592123,97,0.15912331645443828,1.0
137,0.002058430092960207,0.8206682513174055,0.024201420720346468,0.1555680581621641,54,0.1693368313597085,1.0
138,0.0020335454076723957,0.8227017967250779,0.023908845937164178,0.15462485549601712,166,0.16483487196193367,1.0
139,0.0020259742111108673,0.8247277709361888,0.023819829694169747,0.15433674123218277,54,0.15984148623374264,1.0
140,0.0019968772556075358,0.8267246481917963,0.023477730312594616,0.15322444423979686,56,0.1627708790483721,1.0
141,0.001982302377051881,0.8287069505688481,0.023306370221678877,0.15266424015360924,314,0.16851760594121912,1.0
142,0.0019723274977643227,0.8306792780666125,0.023189093345918812,0.15227965506238453,325,0.1578516863558453,1.0
143,0.001963801105717348,0.8326430791723298,0.023088846657016833,0.15195014530107182,67,0.14771786756843774,1.0
144,0.0019302692892659771,0.8345733484615958,0.02269460562826758,0.15064728881817813,314,0.17772445184947658,1.0
145,0.0019172922923208595,0.8364906407539167,0.022542032187066186,0.15014004191775818,90,0.16546166698096118,1.0000000000000002
146,0.0018828839990651315,0.8383735247529818,0.022137486225462313,0.14878671387413028,306,0.15222637037328612,1.0
147,0.0018718143039879618,0.8402453390569697,0.0220073373568052,0.14834870190468535,212,0.18287850503005207,1.0
148,0.001854190077726078,0.8420995291346958,0.021800125406254554,0.1476486552808882,276,0.2188968754549357,1.0
149,0.001840040903957379,0.8439395700386532,0.021633770421262508,0.147084229002509,366,0.17237226246563625,1.0
150,0.0018211301029081727,0.8457607001415614,0.02141143192460147,0.146326456680265,152,0.15590093581688091,1.0
151,0.0018126172826531067,0.8475733174242145,0.021311344802277456,0.14598405667153333,248,0.15039682707330013,1.0
152,0.0017962480850147481,0.8493695655092293,0.021118888502568628,0.14532339282637405,292,0.16657690994113436,1.0000000000000002
153,0.0017938253170074235,0.8511633908262367,0.021090403479903257,0.14522535412214788,111,0.14562623489947368,1.0
154,0.001774428302637061,0.8529378191288738,0.020862348465015352,0.1444380436900727,221,0.17633262672159264,1.0
155,0.001757624226935832,0.8546954433558096,0.02066477920713633,0.1437524928727719,2,0.15666758481123857,1.0
156,0.0017360880120260251,0.8564315313678357,0.02041157313541276,0.14286907690404094,168,0.14030430911840006,1.0
157,0.0017207430965840201,0.8581522744644197,0.02023115954944733,0.14223628070730523,114,0.16744440206283248,1.0
158,0.0017044657726228408,0.8598567402370425,0.020039783429008202,0.14156194202188738,229,0.1346833577219074,0.9999999999999999
159,0.0016810943573492708,0.8615378345943918,0.01976500049817173,0.14058805247307374,102,0.1520612947982072,1.0
160,0.0016784553598310564,0.8632162899542228,0.0197339732170235,0.14047766091811004,150,0.16622584497008872,1.0000000000000002
161,0.0016575343308344852,0.8648738242850573,0.01948800002299559,0.13959942701528394,272,0.17781181787255157,1.0
162,0.0016404470629593519,0.8665142713480167,0.019287101211701657,0.13887800838038272,111,0.17246664739350331,1.0
163,0.0016352768780278143,0.8681495482260445,0.019226314196802263,0.13865898527251042,282,0.1412390694995682,1.0
164,0.0016273909667448652,0.8697769391927894,0.01913359778278622,0.13832424871578453,96,0.1482471343154817,1.0
165,0.0016044250831477752,0.8713813642759372,0.018863582778123916,0.13734475883019315,93,0.1368816511586663,1.0
166,0.0016028905529379463,0.8729842548288751,0.018845540964926976,0.1372790623690553,93,0.1570095809744488,1.0
